Temperature,Humidity,Moisture,CO2,Status
32.79,51.0,8.85,327.86,Critical
22.05,79.63,16.2,315.98,Critical
20.64,53.75,9.15,268.47,Safe
31.22,78.64,16.94,384.02,Warning
31.79,82.38,13.51,434.38,Critical
28.45,61.11,10.51,379.21,Safe
22.04,65.2,12.19,256.38,Warning
36.14,79.19,16.06,517.4,Critical
27.57,72.08,16.39,376.61,Safe
31.55,78.18,12.91,336.51,Safe
39.7,84.21,19.04,473.02,Critical
29.07,83.36,14.65,340.79,Critical
25.34,87.47,18.38,362.76,Critical
23.42,79.17,13.81,283.96,Warning
39.79,75.6,15.46,504.74,Critical
24.58,51.28,9.15,254.39,Safe
24.22,87.72,19.8,311.55,Critical
33.11,65.83,15.65,402.77,Safe
22.79,79.8,16.19,348.37,Critical
28.57,73.34,13.84,434.47,Safe
30.19,53.64,8.01,279.49,Safe
35.84,66.89,10.76,393.26,Safe
30.58,88.84,19.93,327.29,Critical
33.63,71.48,12.9,423.35,Warning
25.87,56.33,8.29,335.68,Safe
34.39,88.88,19.35,441.88,Critical
22.13,75.01,17.05,307.78,Critical
23.06,80.5,16.34,356.88,Critical
30.61,50.02,8.95,273.97,Warning
37.57,83.27,15.5,382.47,Critical
21.71,69.44,11.3,315.3,Safe
22.57,69.01,14.1,258.61,Warning
39.29,87.16,18.96,518.08,Critical
34.26,65.96,14.22,393.45,Critical
29.03,59.92,9.37,260.52,Safe
31.77,50.29,11.31,303.67,Safe
38.11,84.39,14.3,410.68,Warning
24.28,55.29,13.67,322.52,Safe
29.45,81.38,18.12,335.57,Critical
33.18,64.17,12.3,451.51,Warning
33.47,89.37,15.46,396.42,Warning
36.01,54.37,9.02,411.01,Warning
28.44,61.14,10.73,405.77,Warning
36.16,84.24,14.44,458.14,Critical
39.38,87.05,19.5,437.91,Critical
29.71,58.55,11.12,282.08,Warning
20.04,65.62,15.68,324.42,Warning
28.46,88.29,20.63,396.67,Warning
23.1,61.87,15.19,319.62,Safe
30.84,79.92,13.33,388.52,Critical
38.39,71.25,11.59,443.1,Warning
21.37,52.72,12.71,261.85,Safe
38.83,72.79,15.03,389.81,Warning
28.38,73.35,14.81,427.4,Safe
33.39,62.57,11.11,330.39,Warning
32.91,68.29,16.23,479.97,Critical
29.17,89.94,20.96,328.22,Critical
30.12,55.3,10.15,282.96,Safe
27.39,56.31,13.26,372.77,Safe
32.23,89.49,18.82,337.65,Critical
36.34,61.98,13.38,500.53,Warning
25.29,85.59,18.57,290.62,Critical
25.64,58.43,10.74,340.1,Safe
37.06,70.22,12.55,498.66,Warning
21.85,66.94,12.05,199.32,Safe
32.74,60.48,13.54,403.37,Safe
31.22,54.47,13.56,410.56,Safe
30.91,83.38,17.17,338.65,Critical
20.84,64.59,15.52,361.55,Safe
37.98,58.4,10.18,367.15,Warning
35.6,85.37,16.51,457.86,Critical
23.09,87.2,19.63,405.24,Critical
37.63,50.99,11.62,407.55,Safe
36.04,84.56,18.78,416.99,Critical
35.75,54.32,13.1,480.37,Warning
23.99,86.74,16.45,373.44,Critical
37.43,58.92,12.74,421.75,Safe
37.29,88.68,16.41,477.59,Critical
27.99,89.25,18.07,440.53,Critical
37.54,60.45,12.57,515.62,Warning
22.17,67.38,14.85,266.14,Safe
27.7,73.06,13.14,376.11,Safe
30.4,82.26,17.57,462.29,Critical
27.28,52.8,11.55,303.38,Safe
26.28,83.92,18.1,321.35,Critical
26.19,66.34,12.68,292.6,Safe
23.84,76.6,14.59,351.05,Warning
32.31,62.04,12.7,306.66,Safe
24.2,81.43,16.93,298.21,Critical
28.84,77.03,15.47,412.75,Critical
23.39,53.39,10.77,309.02,Safe
26.7,82.74,18.05,384.9,Critical
36.13,55.89,8.46,481.03,Critical
36.99,52.91,10.07,441.01,Warning
34.37,65.36,12.47,349.66,Critical
20.11,80.04,17.63,226.3,Critical
28.5,57.04,14.16,358.67,Safe
21.0,59.97,14.08,273.43,Safe
36.03,76.7,18.27,466.92,Critical
39.0,85.66,17.81,514.13,Critical
30.1,83.22,16.93,449.2,Warning
29.0,80.07,18.05,344.62,Critical
35.55,69.38,12.31,407.43,Critical
25.71,60.87,11.09,318.97,Safe
22.77,59.25,13.01,325.78,Safe
21.28,66.3,13.52,266.92,Safe
36.66,65.58,14.73,511.62,Warning
37.13,80.62,15.41,369.29,Critical
27.04,80.14,18.15,433.7,Warning
30.76,79.39,17.68,459.65,Warning
24.39,67.43,10.66,270.98,Warning
34.48,83.62,19.24,517.92,Critical
30.68,86.28,17.81,421.93,Critical
32.85,55.43,10.86,310.85,Safe
26.55,68.19,12.66,389.54,Warning
35.04,83.28,15.17,359.35,Critical
20.39,71.58,17.32,266.49,Critical
21.37,88.29,14.9,213.16,Warning
24.95,83.57,17.44,294.87,Critical
29.47,54.58,13.6,357.11,Warning
35.34,56.71,11.99,453.02,Warning
35.56,56.55,10.18,419.09,Safe
31.52,86.32,16.52,468.44,Critical
21.52,77.62,16.29,232.95,Critical
35.45,84.01,17.4,380.87,Critical
39.68,81.31,15.35,462.09,Warning
21.38,75.9,12.26,262.31,Safe
22.11,88.43,18.5,366.19,Critical
34.15,67.42,14.89,490.43,Safe
